product_id,artwork_id,Product Name,Product Type,Price,Workflow Status,Source Artwork,Fulfillment Method,Sales Channels,Print File,Primary Mockup File,Mockup Image Full Set,Etsy Link,Etsy Listing ID,Etsy Shipping Profile,Etsy Status,Finish,Frame Color,Lovable Shipping Rate,Lovable Status,Margin %,Notes,Orientation,Printful Base Cost,Printful Product,Printful SKU,Shipping Cost,Shipping Model,Size,Total Cost,Mockup Status,Next Action,POC Product
AOA-PRD-0001-001,AOA-ART-0001,A Place to Return - Maine Coastal Cottage Canvas Print – Dockside Rowboat Wall Art,Printful Print,$65.00,Imported - Pending Review,A Place to Return (https://app.notion.com/p/A-Place-to-Return-35170b21b17e80e1912ae6d7dffeb816?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0037-001,AOA-ART-0037,When the Shore Breathes — Coastal Sunset Ocean Landscape Oil Painting Print,Printful Print,$65.00,Imported - Pending Review,When the Shore Breathes (https://app.notion.com/p/When-the-Shore-Breathes-36f70b21b17e814ab743c746dffc2a07?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0049-001,AOA-ART-0049,Island Reverie — Coastal Island Seascape Oil Painting Print,Printful Print,$65.00,Imported - Pending Review,Island Reverie (https://app.notion.com/p/Island-Reverie-36f70b21b17e81419bfcf0af371e5dfc?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0047-001,AOA-ART-0047,Sky Bound Still — Coastal Marsh Horizon Oil Painting Print,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0044-001,AOA-ART-0044,Summer at Black Point — Coastal Estate Garden Oil Painting Canvas Print,Printful Print,$65.00,Imported - Pending Review,Summer at Black Point (https://app.notion.com/p/Summer-at-Black-Point-36f70b21b17e819d964ef26a6447912b?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0001,,Tethered by the Tide — Coastal Lobster Buoy Oil Painting Print,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0002,,Keeper of the Cove — Red Cottage Harbor Coastal Oil Painting Canvas Print,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0003,,Keeper of Cliff Walk — Coastal Shingled Cottage Ocean Oil Painting Canvas Print,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0004,,Tethered in Blue – Nautical Harbor Landscape Painting-Oil Painting Canvas PrinT,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0005,,Salt and Sunlight– Coastal Maine Lobster Buoy Wall Art- Oil Painting Canvas PrinT,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0006,,Framed August Brine-Canvas Print,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0007,,Tides Bounty-Harbor Dock Boats Oil Painting Canvas Print,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0008,,Lilac Curtain– Floral Landscape Painting Canvas Print-Cottage Garden Wall Art,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0009,,Mussel Shell Heart Coastal Canvas Print – Ocean's Heart by Kaleigh Anderson,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0010,,Where the Water Wanders – New England Coastal Cottage Art-Oil Painting Canvas PrinT,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0011,,Tethered in Blue – Nautical Harbor Landscape Painting-Oil Painting Canvas PrinT,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0012,,Salt and Sunlight– Coastal Maine Lobster Buoy Wall Art- Oil Painting Canvas PrinT,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0013,,Afternoon over the Ridge – New England Farmhouse Wall Art- Canvas Print,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0014,,Portland Begins to Glow – Portland Maine Waterfront Art- Oil Painting Canvas PrinT,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0015,,Framed August Brine-Canvas Print,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0016,,Tides Bounty-Harbor Dock Boats Oil Painting Canvas Print,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0017,,Echoes of the Tide – Blue Mussel Coastal Art,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0018,,Held by the Sea – Blue Mussel Shell Painting-Oil Painting Canvas PrinT,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0059-001,AOA-ART-0059,Golden Note — Yellow Bird Oil Painting Canvas Print Coastal Nature Wall Art,Printful Print,$65.00,Imported - Pending Review,Golden Note (https://app.notion.com/p/Golden-Note-36f70b21b17e816cb5cff5d55e5898e9?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0019,,Echo of the Sea – Blue Mussel Coastal Ocean Art-Oil Painting Canvas Print,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0020,,Lilac Curtain– Floral Landscape Painting Canvas Print-Cottage Garden Wall Art,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0010-001,AOA-ART-0010,Verdigris & Blush- Oil Painting Print on Canvas- Whispers of Color and Bloom,Printful Print,$85.00,Imported - Pending Review,Verdigris & Blush (https://app.notion.com/p/Verdigris-Blush-36f70b21b17e813f9453ffdb5763ee1c?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0046-001,AOA-ART-0046,Sky on Fire – Coastal Sunset Canvas Print by Kaleigh Anderson | Luminous Ocean Wall Art,Printful Print,$55.00,Imported - Pending Review,Sky on Fire (https://app.notion.com/p/Sky-on-Fire-36f70b21b17e8123b895dde606aa5a88?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0005-001,AOA-ART-0005,Return to the Marsh – Coastal Marsh Landscape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,Return to the Marsh (https://app.notion.com/p/Return-to-the-Marsh-36f70b21b17e816c848eedc52d3461bc?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0054-001,AOA-ART-0054,Echoes from the Irish Castle – Ireland Castle Landscape Canvas Print by Kaleigh Anderson,Printful Print,$55.00,Imported - Pending Review,Echoes from the Irish Castle (https://app.notion.com/p/Echoes-from-the-Irish-Castle-36f70b21b17e81fbb8a6dd99524dd53a?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0021,,Mussel Shell Heart Coastal Canvas Print – Ocean’s Heart by Kaleigh Anderson,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0039-001,AOA-ART-0039,Lilac Floral Still Life Canvas Print – Violet Harmony by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Violet Harmony (https://app.notion.com/p/Violet-Harmony-36f70b21b17e81368f60d312f4dc4177?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0053-001,AOA-ART-0053,Providence Rhode Island Cityscape Canvas Print – First Light on Providence by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,First Light on Providence (https://app.notion.com/p/First-Light-on-Providence-36f70b21b17e8103b656dc1c25d65806?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0022,,Coastal Cottage Garden Canvas Print – Bellflower House by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0023,,Pink Floral Still Life Canvas Print – Whispers of Spring by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0035-001,AOA-ART-0035,Peach Still Life Window Light Canvas Print – Where Light Rests by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Where Light Rests (https://app.notion.com/p/Where-Light-Rests-36f70b21b17e812eb4d3ff4a344a1100?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0024,,Coastal Hydrangea Cottage Canvas Print – When the Hydrangeas Bloom by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0048-001,AOA-ART-0048,Chapel Landscape Canvas Print – Morning Prayer by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Morning Prayer (https://app.notion.com/p/Morning-Prayer-36f70b21b17e81daa0a1e2d793d85da3?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0025,,Coastal Dune Sunset Canvas Print – Dune Light by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0036-001,AOA-ART-0036,Sunset Boat Reflection Landscape Canvas Print – When the Water Remembered the Sky,Printful Print,$65.00,Imported - Pending Review,When the Water Remembered the Sky (https://app.notion.com/p/When-the-Water-Remembered-the-Sky-36f70b21b17e81aea882f59dae15c15f?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0034-001,AOA-ART-0034,Coastal Cottage Ocean Landscape Canvas Print – Where the Air is Salt by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Where the Air is Salt (https://app.notion.com/p/Where-the-Air-is-Salt-36f70b21b17e81f3bf46e4afccc2e4e8?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0026,,Pink Sunset Marsh Landscape Canvas Print – Gilded No. 8 When the Sky Blushes,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0027,,Marsh Sunset Landscape Canvas Print – After the Sun Slows by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0040-001,AOA-ART-0040,Coastal Docked Boats Canvas Print – Tied to the Light by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Tied to the Light (https://app.notion.com/p/Tied-to-the-Light-36f70b21b17e81c4b6d5f3a153db234d?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0038-001,AOA-ART-0038,Farm Field Countryside Landscape Canvas Print – Tilled Light by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Tilled Light (https://app.notion.com/p/Tilled-Light-36f70b21b17e81e9a72ef270d567fa3c?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0028,,Colorful Sunset Seascape Canvas Print – The Sky Remembered You by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0042-001,AOA-ART-0042,Red Barn Countryside Canvas Print – The Girl in the Yellow Coat by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,The Girl in the Yellow Coat (https://app.notion.com/p/The-Girl-in-the-Yellow-Coat-36f70b21b17e8124ac1cdb5205fa6358?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0029,,Deer and Fawn Forest Canvas Print – The Quiet Bond by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0041-001,AOA-ART-0041,Stoneware Pottery Still Life Canvas Print – Sun on Stoneware by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Sun on Stoneware (https://app.notion.com/p/Sun-on-Stoneware-36f70b21b17e817bb039dc61d5417bd2?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0027-001,AOA-ART-0027,Blue Mussel Shell Coastal Canvas Print – Sea Memory by Kaleigh Anderson,Printful Print,$85.00,Imported - Pending Review,Sea Memory (https://app.notion.com/p/Sea-Memory-36f70b21b17e8120b797cf5173d41afa?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0023-001,AOA-ART-0023,Blue Mussel Shell Kitchen Art Canvas Print – The Mussels Were Perfect by Kaleigh Anderson,Printful Print,$85.00,Imported - Pending Review,The Mussels Were Perfect (https://app.notion.com/p/The-Mussels-Were-Perfect-36f70b21b17e81da88ceed881651c804?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0030,,Coastal Marsh Landscape Canvas Print – Where the Water Wanders by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0031,,Pastel Sunset Seascape Canvas Print – Gilded No. 12 by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0051-001,AOA-ART-0051,Stormy Marsh Landscape Canvas Print – Gilded No. 11 by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Stormy Marsh (https://app.notion.com/p/Stormy-Marsh-36f70b21b17e812fb246cfad813a58ad?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0032,,Lemon Still Life Kitchen Canvas Print – Citrine Radiance by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0033,,Seagull Coastal Bird Canvas Print – At Ease by the Sea by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0017-001,AOA-ART-0017,Lobster Fisherman Harbor Canvas Print – Hands of the Harbor by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Hands of the Harbor (https://app.notion.com/p/Hands-of-the-Harbor-36f70b21b17e8192ae87ecef1f41db65?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0034,,Lobster Buoy Harbor Canvas Print – Harbor Signals by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0020-001,AOA-ART-0020,Lemon Still Life Kitchen Canvas Print – Citrine Silence by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Citrine Silence (https://app.notion.com/p/Citrine-Silence-36f70b21b17e811d82f7da6f2433cd1d?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0058-001,AOA-ART-0058,Forsythia Flower Still Life Canvas Print – Forsythia Light by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Forsythia Light (https://app.notion.com/p/Forsythia-Light-36f70b21b17e8156a6eadb91f52a172c?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0035,,Coastal Cottage Ocean Canvas Print – By the Blue Door by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0036,,Coastal Stilt House Sunrise Canvas Print – Dockside Morning Marsh Landscape Wall Art,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0012-001,AOA-ART-0012,Coastal Shell Still Life Canvas Print – Shore Memory by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Shore Memory (https://app.notion.com/p/Shore-Memory-36f70b21b17e8127acc9eb46919493de?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0037,,Cottage Garden Flower Landscape Canvas Print – Through the Garden Gate by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0038,,Sailboat Seascape Canvas Print – Sails in the Mist by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0039,,Coastal Boat Harbor Canvas Print – Tethered in Blue by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-0014-001,AOA-ART-0014,Monhegan Island Cottage Landscape Canvas Print – Red Roofs of Monhegan by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Red Roofs of Monhegan (https://app.notion.com/p/Red-Roofs-of-Monhegan-36f70b21b17e81798d22f41f00c0ab4f?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
AOA-PRD-LEGACY-0040,,Whisper of the Lake – Birch Tree Lake Landscape Canvas Print by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,No
