Product Name,artwork_id,Product Type,Format,Price,Tags,Description,Story,Sales Channels,Etsy Status,Status,Notes
Anchored- Emerald Shore- Oil Painting Canvas Print,,Printful Print,Framed Canvas,65,"lake_wall_art,coastal_decor,boat_painting,nautical_wall_art,summer_lake_art,beach_house_decor,ocean_inspired_art,waterfront_artwork,serene_home_decor,cottage_lake_decor,blue_wall_art,gift_for_lake_lover","This painting captures a peaceful summer moment on open water, where a small boat glides across the lake beneath a wide, cloud-filled sky. Gentle ripples trail behind it, creating sweeping lines of blue that draw the eye across the surface and into the distance.
Soft greens along the shoreline contrast with cool water tones, while layered brushstrokes in the sky add movement and atmosphere. The composition feels expansive yet intimate — a quiet escape into fresh air, sunlight, and the rhythmic sound of water.
Calm and refreshing, this piece evokes the freedom of a slow afternoon on the lake. It brings a breezy, tranquil energy into any space, perfect for adding light, openness, and a touch of summer nostalgia to your home.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
The Sweet Unknowing- Oil Painting Canvas Print- Golden Foal,AOA-ART-0022,Printful Print,Framed Canvas,85,"newborn_foal_art,horse_nursery_decor,Maine_farmhouse_art,baby_horse_print,rustic_wall_art,country_nursery_art,foal_painting_print,farmhouse_wall_decor,horse_lover_gift,Maine_country_art,warm_neutral_artwork,barn_life_decor","This fine art print captures the tender stillness of a newborn foal resting in warm light, just moments into a new beginning. Curled gently against the earth, the young horse is bathed in soft golden tones that evoke the quiet hush of an early Maine morning.
Inspired by the rural landscapes of Maine, the piece reflects the peaceful rhythm of farm life — open fields, crisp air, and the quiet miracle of new life. The painterly brushstrokes blend warmth and softness, giving the foal a delicate presence that feels both intimate and timeless.
There is a sense of protection and calm in the composition — a fleeting, sacred pause before first steps are taken. This artwork brings warmth, hope, and rustic New England charm into any space, perfect for nurseries, farmhouse interiors, or anyone drawn to the gentle beauty of Maine’s countryside.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Quiet Garden Light – Cottage Garden Landscape Canvas Print by Kaleigh Anderson,AOA-ART-0056,Printful Print,Framed Canvas,55,"garden_wall_art,cottage_garden_art,garden_landscape_art,floral_garden_art,cottage_wall_decor,nature_wall_art,garden_painting_art,farmhouse_wall_art,serene_landscape,fine_art_canvas,kaleigh_anderson,arts_of_august,cottage_garden_decor","Bring the peaceful beauty of a sunlit garden into your home with Quiet Garden Light, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Cobalt Bloom – Floral Still Life Canvas Print by Kaleigh Anderson,AOA-ART-0003,Printful Print,Framed Canvas,55,"flower_vase_painting,cobalt_vase_art,floral_wall_decor,flower_wall_art,still_life_painting,floral_canvas_art,colorful_flower_art,fine_art_canvas,kaleigh_anderson,arts_of_august,flower_still_life,floral_home_decor","Bring vibrant color and classic still life charm into your home with Cobalt Bloom, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
After the Catch – Coastal Harbor Buoy Canvas Print by Kaleigh Anderson,AOA-ART-0021,Printful Print,Framed Canvas,55,"lobster_buoy_art,coastal_harbor_art,nautical_wall_art,dockside_painting,seaside_harbor_art,coastal_wall_decor,beach_house_decor,harbor_painting_art,maine_coastal_art,fine_art_canvas,kaleigh_anderson,arts_of_august,harbor_scene_art","Bring the quiet rhythm of a working harbor into your home with After the Catch, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Shoreline Color – Coastal Wildflower Seascape Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,55,"shoreline_flower_art,ocean_flower_art,coastal_landscape,beach_wildflowers,seaside_wall_art,coastal_wall_decor,ocean_view_artwork,beach_house_decor,fine_art_canvas,kaleigh_anderson,arts_of_august,coastal_flower_art","Bring the vibrant beauty of coastal wildflowers into your home with Shoreline Color, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Where Peace Hangs – Coastal Porch Landscape Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,55,"coastal_porch_art,seaside_porch_view,porch_landscape_art,coastal_wall_decor,cottage_porch_art,beach_house_decor,ocean_view_artwork,floral_hanging_art,seaside_landscape,fine_art_canvas,kaleigh_anderson,arts_of_august,coastal_home_decor","Bring the quiet calm of a seaside porch into your home with Where Peace Hangs, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Tied to the Morning – Coastal Harbor Boat Canvas Print by Kaleigh Anderson,AOA-ART-0011,Printful Print,Framed Canvas,55,"harbor_boat_art,coastal_boat_art,docked_boats_art,nautical_wall_art,harbor_wall_decor,coastal_harbor_art,seaside_boat_art,beach_house_decor,ocean_harbor_view,fine_art_canvas,kaleigh_anderson,arts_of_august,boat_painting_art","Bring the peaceful rhythm of a quiet harbor morning into your home with Tied to the Morning, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Minimalist Houseplant Canvas Print – Quiet Corner Modern Botanical Wall Art,,Printful Print,Framed Canvas,85,"houseplant_wall_art,plant_lover_decor,botanical_wall_art,minimalist_plant_art,modern_botanical_art,plant_wall_decor,green_plant_artwork,plant_lover_gift,fine_art_canvas,kaleigh_anderson,arts_of_august,modern_plant_decor","Bring calm light and modern simplicity into your space with Quiet Corner, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Cupola Light – Coastal Cupola Architecture Canvas Print by Kaleigh Anderson,AOA-ART-0057,Printful Print,Framed Canvas,55,"cupola_wall_art,coastal_architecture,weather_vane_art,coastal_building_art,seaside_architecture,coastal_wall_decor,cottage_architecture,maine_coastal_art,architectural_art,fine_art_canvas,kaleigh_anderson,arts_of_august,coastal_home_decor","Bring the quiet beauty of coastal architecture into your home with Cupola Light, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Fresh Cut Delight – Floral Still Life Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,55,"flower_vase_painting,pink_flower_art,floral_wall_decor,flower_still_life,still_life_painting,floral_canvas_art,cottage_wall_decor,flower_wall_art,fine_art_canvas,kaleigh_anderson,arts_of_august,floral_home_decor","Bring the charm of fresh flowers into your home with Fresh Cut Delight, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Cliff Haven – Coastal Cottage Landscape Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,55,"coastal_cottage_art,seaside_cottage_art,coastal_wall_decor,beach_house_artwork,ocean_landscape_art,coastal_landscape,maine_coastal_art,seaside_painting_art,beach_cottage_decor,fine_art_canvas,kaleigh_anderson,arts_of_august,ocean_view_artwork","Bring the peaceful beauty of a seaside cottage into your home with Cliff Haven, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Secret Garden – Cottage Garden Landscape Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,55,"cottage_garden_art,floral_landscape_art,garden_wall_decor,cottagecore_decor,blooming_tree_art,nature_wall_art,garden_painting_art,colorful_garden_art,spring_garden_art,fine_art_canvas,kaleigh_anderson,arts_of_august,cottage_wall_art","Bring the charm of a hidden garden into your home with Secret Garden, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Light Keeper’s Solitude – Lighthouse Sunset Seascape Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,55,"lighthouse_wall_art,coastal_lighthouse,seascape_sunset_art,beach_house_decor,coastal_wall_decor,ocean_sunset_art,nautical_wall_art,maine_lighthouse_art,fine_art_canvas,kaleigh_anderson,arts_of_august,lighthouse_painting","Bring the dramatic beauty of a coastal sunset into your home with Light Keeper’s Solitude, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Midnight Harbor – Moonlit Harbor Landscape Canvas Print by Kaleigh Anderson,AOA-ART-0016,Printful Print,Framed Canvas,55,"moonlit_harbor_art,night_harbor_art,harbor_wall_art,coastal_night_art,moon_reflection_art,waterfront_painting,coastal_wall_decor,night_seascape_art,blue_harbor_artwork,fine_art_canvas,kaleigh_anderson,arts_of_august,harbor_landscape_art","Bring the quiet beauty of a moonlit harbor into your home with Midnight Harbor, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
At the Edge of Town – Countryside Landscape Canvas Print by Kaleigh Anderson,AOA-ART-0055,Printful Print,Framed Canvas,55,"countryside_wall_art,rural_landscape_art,farmhouse_wall_decor,small_town_artwork,rustic_landscape,nature_wall_art,country_home_decor,scenic_landscape_art,fine_art_canvas,kaleigh_anderson,arts_of_august,pastoral_artwork,country_scene_art","Bring the quiet beauty of a rural landscape into your home with At the Edge of Town, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Marsh Mirage – Coastal Marsh Sunset Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,85,"coastal_marsh_art,marsh_sunset_art,marsh_landscape_art,coastal_wall_decor,marshland_painting,ocean_marsh_art,beach_house_decor,coastal_sunset_art,nature_landscape_art,fine_art_canvas,kaleigh_anderson,arts_of_august,marsh_wall_art","Bring the glowing beauty of a coastal marsh sunset into your home with Marsh Mirage, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Whispers of the Marsh – Coastal Marsh Landscape Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,85,"coastal_marsh_art,marsh_landscape_art,tidal_marsh_painting,marsh_wall_decor,coastal_wetlands_art,nature_landscape_art,marshland_artwork,coastal_wall_decor,beach_house_decor,fine_art_canvas,kaleigh_anderson,arts_of_august,marsh_horizon_art","Bring the quiet beauty of coastal wetlands into your home with Whispers of the Marsh, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Between Branches and Light – Coastal Harbor Landscape Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,55,"coastal_harbor_art,harbor_landscape,sailboat_wall_art,coastal_wall_decor,maine_coastal_art,harbor_painting_art,ocean_harbor_view,beach_house_decor,seaside_landscape,nature_wall_art,fine_art_canvas,kaleigh_anderson,arts_of_august","Bring the quiet beauty of a harbor view into your home with Between Branches and Light, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Sea Window – Coastal Sunset Seascape Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,55,"coastal_sunset_art,ocean_sunset_art,seascape_wall_art,coastal_window_view,beach_house_decor,ocean_horizon_art,coastal_wall_decor,sunset_seascape_art,maine_coastal_art,fine_art_canvas,kaleigh_anderson,arts_of_august,ocean_view_artwork","Bring the glow of a coastal sunset into your home with Sea Window, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Coastal Buoy House Canvas Print – The Buoy House Nautical Beach Cottage Wall Art,,Printful Print,Framed Canvas,85,"nautical_wall_art,buoy_wall_decor,lobster_buoy_art,coastal_wall_decor,beach_house_artwork,nautical_decor_art,coastal_cottage_art,lobster_house_art,harbor_wall_decor,fine_art_canvas,kaleigh_anderson,arts_of_august,coastal_home_decor","Bring vibrant coastal charm into your home with The Buoy House, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Resting Tide – Coastal Boat Seascape Canvas Print by Kaleigh Anderson,AOA-ART-0013,Printful Print,Framed Canvas,55,"coastal_boat_art,harbor_boat_art,nautical_wall_art,seaside_boat_art,coastal_wall_decor,ocean_boat_art,beach_house_decor,harbor_painting_art,dockside_artwork,fine_art_canvas,kaleigh_anderson,arts_of_august,boat_wall_art","Bring the calm beauty of a quiet harbor moment into your home with Resting Tide, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Beneath the Blue Veil – Coastal Mussel Shell Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,65,"mussel_shell_art,seashell_wall_art,coastal_shell_art,blue_shell_artwork,ocean_shell_art,coastal_wall_decor,sea_life_artwork,beach_house_decor,modern_coastal_art,fine_art_canvas,kaleigh_anderson,arts_of_august,shell_painting_art","Bring the quiet beauty of the ocean’s hidden details into your home with Beneath the Blue Veil, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Coastal Sunset Canvas Print – Gilded Horizons No. 10 Marsh Landscape Wall Art,AOA-ART-0030,Printful Print,Framed Canvas,85,"coastal_sunset_art,marsh_sunset_art,beach_house_decor,marsh_landscape_art,coastal_wall_decor,pastel_sunset_art,new_england_artwork,fine_art_canvas,kaleigh_anderson,arts_of_august,coastal_home_decor","Bring soft coastal light and calming color into your home with Gilded Horizons No. 10, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Floral Still Life Canvas Print – Whispers Over Tea by Kaleigh Anderson,,Printful Print,Framed Canvas,65,"flower_vase_painting,tea_cup_still_life,floral_wall_decor,flower_wall_art,still_life_painting,cottage_wall_decor,floral_canvas_art,vintage_tea_art,fine_art_canvas,kaleigh_anderson,arts_of_august,flower_still_life","Bring quiet elegance into your home with Whispers Over Tea, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Avocado Kitchen Wall Art Canvas Print – Avo Love Modern Food Still Life,AOA-ART-0031,Printful Print,Framed Canvas,85,"avocado_wall_art,avocado_painting_art,kitchen_wall_decor,modern_kitchen_art,food_still_life_art,food_painting_art,kitchen_canvas_art,fine_art_canvas,kaleigh_anderson,arts_of_august,modern_food_art","Bring a playful touch of modern kitchen art into your home with Avo Love, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Whisper of the Lake – Birch Tree Lake Landscape Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,65,"birch_tree_painting,lake_landscape_art,lakeside_wall_art,nature_wall_decor,birch_tree_artwork,lake_reflection_art,serene_landscape_art,cottage_wall_decor,nature_landscape_art,fine_art_canvas,kaleigh_anderson,arts_of_august,peaceful_lake_art","Bring the peaceful beauty of a quiet lakeside view into your home with Whisper of the Lake, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Monhegan Island Cottage Landscape Canvas Print – Red Roofs of Monhegan by Kaleigh Anderson,AOA-ART-0014,Printful Print,Framed Canvas,65,"monhegan_island_art,maine_coastal_art,island_cottage_art,coastal_cottage_art,maine_landscape_art,wildflower_field_art,coastal_wall_decor,beach_house_decor,monhegan_painting,fine_art_canvas,kaleigh_anderson,arts_of_august","Bring the bright charm of Monhegan Island into your home with Red Roofs of Monhegan, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Coastal Boat Harbor Canvas Print – Tethered in Blue by Kaleigh Anderson,,Printful Print,Framed Canvas,65,"coastal_boat_art,harbor_boat_art,docked_boats_art,nautical_wall_art,harbor_wall_decor,seaside_boat_art,coastal_harbor_art,ocean_boat_art,beach_house_decor,fine_art_canvas,kaleigh_anderson,arts_of_august,boat_painting_art","Bring the calm rhythm of a working harbor into your home with Tethered in Blue, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Sailboat Seascape Canvas Print – Sails in the Mist by Kaleigh Anderson,,Printful Print,Framed Canvas,65,"sailboat_wall_art,sailboat_painting,coastal_sailboat_art,sailboat_seascape,ocean_sailboat_art,nautical_wall_decor,serene_coastal_art,misty_seascape_art,minimalist_coastal,beach_house_decor,fine_art_canvas,kaleigh_anderson,arts_of_august","Bring a sense of quiet motion and coastal calm into your home with Sails in the Mist, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Cottage Garden Flower Landscape Canvas Print – Through the Garden Gate by Kaleigh Anderson,,Printful Print,Framed Canvas,65,"cottage_garden_art,flower_garden_art,garden_landscape_art,floral_wall_decor,cottagecore_wall_art,wildflower_painting,garden_wall_decor,colorful_flower_art,nature_wall_decor,fine_art_canvas,kaleigh_anderson,arts_of_august,flower_garden_print","Bring the beauty of a blooming garden into your home with Through the Garden Gate, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Coastal Shell Still Life Canvas Print – Shore Memory by Kaleigh Anderson,AOA-ART-0012,Printful Print,Framed Canvas,65,"coastal_shell_art,mussel_shell_art,seashell_painting,ocean_shell_art,coastal_wall_decor,beach_house_decor,nautical_wall_art,shell_still_life_art,sea_life_wall_art,fine_art_canvas,kaleigh_anderson,arts_of_august,coastal_still_life","Bring the quiet beauty of the shoreline into your home with Shore Memory, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Coastal Stilt House Sunrise Canvas Print – Dockside Morning Marsh Landscape Wall Art,,Printful Print,Framed Canvas,85,"coastal_sunrise_art,marsh_sunrise_art,beach_house_decor,marsh_landscape_art,coastal_wall_decor,boathouse_painting,coastal_morning_art,new_england_artwork,fine_art_canvas,kaleigh_anderson,arts_of_august,coastal_home_decor","Bring the quiet beauty of coastal morning light into your home with Dockside Morning, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Coastal Cottage Ocean Canvas Print – By the Blue Door by Kaleigh Anderson,,Printful Print,Framed Canvas,65,"coastal_cottage_art,beach_cottage_art,ocean_cottage_art,seaside_house_art,coastal_wall_decor,beach_house_decor,cottage_wall_art,ocean_view_painting,fine_art_canvas,kaleigh_anderson,arts_of_august,coastal_home_decor","Bring the charm of a quiet seaside cottage into your home with By the Blue Door, a fine art canvas print of an original oil painting by Maine artist Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
